Source,Call
pipeline.load_csv_files,pandas.read_csv
pipeline.load_csv_files,os.path.basename
pipeline.save_report,pipeline.open
pipeline.save_report,pipeline.f.write
pipeline.save_report,os.path.join
profiler._wrap_text,textwrap.wrap
profiler._wrap_text,profiler.join
profiler.wrap_xtick_labels,profiler.ax.set_xticks
profiler.wrap_xtick_labels,profiler.ax.set_xticklabels
profiler.wrap_xtick_labels,profiler.label.get_text
profiler.wrap_xtick_labels,profiler._wrap_text
profiler.wrap_xtick_labels,profiler.range
profiler.wrap_xtick_labels,profiler.ax.get_xticklabels
profiler.wrap_xtick_labels,profiler.len
profiler.column_chart,profiler.value_counts
profiler.column_chart,profiler.value_counts.head.to_dict
profiler.column_chart,pandas.Series
profiler.column_chart,profiler.top_values_series.plot
profiler.column_chart,profiler.ax.set_title
profiler.column_chart,profiler.ax.set_xlabel
profiler.column_chart,profiler.ax.set_xticks
profiler.column_chart,profiler.ax.set_xticklabels
profiler.column_chart,profiler.ax.set_ylabel
profiler.column_chart,profiler.value_counts.sum
profiler.column_chart,matplotlib.pyplot.subplots_adjust
profiler.column_chart,matplotlib.pyplot.savefig
profiler.column_chart,matplotlib.pyplot.close
profiler.column_chart,profiler.sum
profiler.column_chart,profiler.self._wrap_text
profiler.column_chart,profiler.label.get_text
profiler.column_chart,profiler.self._wrap_text
profiler.column_chart,profiler.range
profiler.column_chart,profiler.ax.annotate
profiler.column_chart,profiler.len
profiler.column_chart,profiler.value_counts.head
profiler.column_chart,profiler.ax.get_xticklabels
profiler.column_chart,profiler.len
profiler.column_chart,profiler.p.get_height
profiler.column_chart,profiler.p.get_x
profiler.column_chart,profiler.p.get_height
profiler.column_chart,profiler.p.get_width
profiler.histogram,profiler.plot
profiler.histogram,profiler.ax.set_title
profiler.histogram,profiler.ax.set_xlabel
profiler.histogram,profiler.ax.set_ylabel
profiler.histogram,matplotlib.pyplot.subplots_adjust
profiler.histogram,matplotlib.pyplot.savefig
profiler.histogram,matplotlib.pyplot.close
profiler.histogram,profiler.self._wrap_text
profiler.kde_plot,seaborn.kdeplot
profiler.kde_plot,profiler.ax.set_title
profiler.kde_plot,profiler.ax.set_xlabel
profiler.kde_plot,profiler.ax.set_ylabel
profiler.kde_plot,matplotlib.pyplot.subplots_adjust
profiler.kde_plot,matplotlib.pyplot.savefig
profiler.kde_plot,matplotlib.pyplot.close
profiler.kde_plot,profiler.self._wrap_text
profiler.box_plot,profiler.dropna
profiler.box_plot,seaborn.boxplot
profiler.box_plot,profiler.ax.set_title
profiler.box_plot,profiler.ax.set_ylabel
profiler.box_plot,matplotlib.pyplot.subplots_adjust
profiler.box_plot,matplotlib.pyplot.savefig
profiler.box_plot,matplotlib.pyplot.close
profiler.box_plot,profiler.print
profiler.box_plot,profiler.self._wrap_text
profiler.missing_value_matrix,matplotlib.pyplot.subplots
profiler.missing_value_matrix,missingno.matrix
profiler.missing_value_matrix,profiler.ax.set_title
profiler.missing_value_matrix,matplotlib.pyplot.subplots_adjust
